iter	Passed	Remaining
0	1	174
1	3	150
2	4	137
3	5	124
4	6	120
5	7	120
6	8	118
7	10	126
8	12	124
9	13	122
10	15	122
11	16	119
12	17	119
13	19	116
14	20	115
15	21	112
16	23	115
17	26	118
18	27	115
19	30	120
20	33	126
21	34	124
22	36	121
23	37	120
24	39	117
25	40	116
26	42	113
27	43	111
28	44	109
29	45	106
30	46	104
31	48	102
32	49	100
33	50	98
34	52	96
35	53	95
36	55	94
37	56	92
38	57	90
39	58	88
40	60	86
41	60	84
42	61	82
43	63	80
44	64	78
45	65	76
46	66	75
47	68	74
48	70	73
49	72	72
50	73	71
51	75	69
52	76	67
53	77	66
54	78	64
55	79	62
56	80	61
57	82	59
58	83	57
59	84	56
60	85	54
61	86	53
62	88	51
63	89	50
64	90	48
65	91	47
66	93	45
67	95	44
68	96	43
69	97	41
70	99	40
71	100	39
72	101	37
73	102	36
74	104	34
75	105	33
76	106	31
77	108	30
78	109	29
79	110	27
80	111	26
81	113	24
82	114	23
83	115	22
84	116	20
85	117	19
86	118	17
87	120	16
88	121	15
89	122	13
90	123	12
91	124	10
92	126	9
93	127	8
94	129	6
95	130	5
96	131	4
97	132	2
98	134	1
99	135	0
